Name, State, Population, Capital, Location
Roseville, California,"141,500",FALSE,38.7690°N 121.3189°W
Thornton, Colorado,"141,464",FALSE,39.9194°N 104.9428°W
Miramar, Florida,"141,191",FALSE,25.9770°N 80.3358°W
Pasadena, California,"141,029",FALSE,34.1606°N 118.1396°W
Mesquite, Texas,"140,937",FALSE,32.7629°N 96.5888°W
Olathe, Kansas,"140,545",FALSE,38.8843°N 94.8195°W
Dayton, Ohio,"140,407",FALSE,39.7774°N 84.1996°W
Carrollton, Texas,"139,248",FALSE,32.9884°N 96.8998°W
Waco, Texas,"139,236",FALSE,31.5601°N 97.1860°W
Orange, California,"138,669",FALSE,33.7870°N 117.8613°W
Fullerton, California,"138,632",FALSE,33.8857°N 117.9280°W
Charleston, South Carolina,"137,566",FALSE,32.8179°N 79.9590°W
West Valley City, Utah,"135,248",FALSE,40.6885°N 112.0118°W
Visalia, California,"134,605",FALSE,36.3273°N 119.3289°W
Hampton[m], Virginia,"134,510",FALSE,37.0480°N 76.2971°W
Gainesville, Florida,"133,997",FALSE,29.6788°N 82.3461°W
Warren, Michigan,"133,943",FALSE,42.4929°N 83.0250°W
Coral Springs, Florida,"133,759",FALSE,26.2707°N 80.2593°W
Cedar Rapids, Iowa,"133,562",FALSE,41.9670°N 91.6778°W
Round Rock, Texas,"133,372",FALSE,30.5252°N 97.6660°W
Sterling Heights, Michigan,"132,438",FALSE,42.5812°N 83.0303°W
Kent, Washington,"132,319",FALSE,47.3880°N 122.2127°W
Columbia, South Carolina,"131,674",TRUE,34.0291°N 80.8980°W
